keyword,nhom_adgroup,intent_tier,loai_hinh,khu_vuc,match_type,uu_tien,ghi_chu,ngay_them
căn hộ hồ chí minh 2 phòng ngủ,ho-chi-minh--cau-hinh-can,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),phrase,2,lọc theo cấu hình,2026-07-28
căn hộ hồ chí minh 3 phòng ngủ,ho-chi-minh--cau-hinh-can,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),phrase,2,lọc theo cấu hình,2026-07-28
căn hộ hồ chí minh dưới 2 tỷ,ho-chi-minh--phan-khuc-ngan-sach,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),phrase,2,phân khúc ngân sách,2026-07-28
căn hộ hồ chí minh dưới 3 tỷ,ho-chi-minh--phan-khuc-ngan-sach,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),phrase,2,phân khúc ngân sách,2026-07-28
căn hộ hồ chí minh dưới 5 tỷ,ho-chi-minh--phan-khuc-ngan-sach,T2_giao_dich,căn hộ,hồ chí minh (TP.HCM),phrase,2,phân khúc ngân sách,2026-07-28
có nên mua căn hộ hồ chí minh,ho-chi-minh--tu-van-quyet-dinh,T3_nghien_cuu,căn hộ,hồ chí minh (TP.HCM),phrase,3,"top-funnel, đẩy về bài SEO + remarketing",2026-07-28
căn hộ hồ chí minh review,ho-chi-minh--tu-van-quyet-dinh,T3_nghien_cuu,căn hộ,hồ chí minh (TP.HCM),phrase,3,cần negative 'lừa đảo',2026-07-28
căn hộ hồ chí minh đánh giá,ho-chi-minh--tu-van-quyet-dinh,T3_nghien_cuu,căn hộ,hồ chí minh (TP.HCM),phrase,3,top-funnel,2026-07-28
căn hộ hồ chí minh pháp lý,ho-chi-minh--phap-ly,T3_nghien_cuu,căn hộ,hồ chí minh (TP.HCM),phrase,3,"quan tâm sổ hồng, giấy tờ",2026-07-28
căn hộ hồ chí minh tiến độ,ho-chi-minh--tien-do,T3_nghien_cuu,căn hộ,hồ chí minh (TP.HCM),phrase,3,"thường là khách đã mua, giá trị lead thấp hơn",2026-07-28
nên mua căn hộ hồ chí minh ở đâu,ho-chi-minh--tu-van-quyet-dinh,T3_nghien_cuu,căn hộ,hồ chí minh (TP.HCM),phrase,3,top-funnel,2026-07-28
chung cư hồ chí minh,ho-chi-minh--generic-chung-cu,T2_giao_dich,chung cư,hồ chí minh (TP.HCM),phrase,1,head term theo loại hình + khu vực,2026-07-28
chung cư hồ chí minh giá,ho-chi-minh--gia-bang-gia,T2_giao_dich,chung cư,hồ chí minh (TP.HCM),phrase,1,"intent hỏi giá, dẫn về block bảng giá LP",2026-07-28
chung cư hồ chí minh bảng giá,ho-chi-minh--gia-bang-gia,T2_giao_dich,chung cư,hồ chí minh (TP.HCM),phrase,1,lead magnet: tải bảng giá,2026-07-28
chung cư hồ chí minh giá bao nhiêu,ho-chi-minh--gia-bang-gia,T2_giao_dich,chung cư,hồ chí minh (TP.HCM),phrase,1,long-tail hỏi giá,2026-07-28
mua chung cư hồ chí minh,ho-chi-minh--mua-ban,T2_giao_dich,chung cư,hồ chí minh (TP.HCM),phrase,1,intent mua trực tiếp,2026-07-28
đất nền hồ chí minh,ho-chi-minh--generic-dat-nen,T2_giao_dich,đất nền,hồ chí minh (TP.HCM),phrase,1,head term theo loại hình + khu vực,2026-07-28
đất nền hồ chí minh giá,ho-chi-minh--gia-bang-gia,T2_giao_dich,đất nền,hồ chí minh (TP.HCM),phrase,1,"intent hỏi giá, dẫn về block bảng giá LP",2026-07-28
đất nền hồ chí minh bảng giá,ho-chi-minh--gia-bang-gia,T2_giao_dich,đất nền,hồ chí minh (TP.HCM),phrase,1,lead magnet: tải bảng giá,2026-07-28
đất nền hồ chí minh giá bao nhiêu,ho-chi-minh--gia-bang-gia,T2_giao_dich,đất nền,hồ chí minh (TP.HCM),phrase,1,long-tail hỏi giá,2026-07-28
mua đất nền hồ chí minh,ho-chi-minh--mua-ban,T2_giao_dich,đất nền,hồ chí minh (TP.HCM),phrase,1,intent mua trực tiếp,2026-07-28
nhà phố hồ chí minh,ho-chi-minh--generic-nha-pho,T2_giao_dich,nhà phố,hồ chí minh (TP.HCM),phrase,1,head term theo loại hình + khu vực,2026-07-28
nhà phố hồ chí minh giá,ho-chi-minh--gia-bang-gia,T2_giao_dich,nhà phố,hồ chí minh (TP.HCM),phrase,1,"intent hỏi giá, dẫn về block bảng giá LP",2026-07-28
nhà phố hồ chí minh bảng giá,ho-chi-minh--gia-bang-gia,T2_giao_dich,nhà phố,hồ chí minh (TP.HCM),phrase,1,lead magnet: tải bảng giá,2026-07-28
nhà phố hồ chí minh giá bao nhiêu,ho-chi-minh--gia-bang-gia,T2_giao_dich,nhà phố,hồ chí minh (TP.HCM),phrase,1,long-tail hỏi giá,2026-07-28
mua nhà phố hồ chí minh,ho-chi-minh--mua-ban,T2_giao_dich,nhà phố,hồ chí minh (TP.HCM),phrase,1,intent mua trực tiếp,2026-07-28
căn hộ sài gòn,sai-gon--generic-can-ho,T2_giao_dich,căn hộ,sài gòn (TP.HCM),phrase,1,head term theo loại hình + khu vực,2026-07-28
căn hộ sài gòn giá,sai-gon--gia-bang-gia,T2_giao_dich,căn hộ,sài gòn (TP.HCM),phrase,1,"intent hỏi giá, dẫn về block bảng giá LP",2026-07-28
căn hộ sài gòn bảng giá,sai-gon--gia-bang-gia,T2_giao_dich,căn hộ,sài gòn (TP.HCM),phrase,1,lead magnet: tải bảng giá,2026-07-28
căn hộ sài gòn giá bao nhiêu,sai-gon--gia-bang-gia,T2_giao_dich,căn hộ,sài gòn (TP.HCM),phrase,1,long-tail hỏi giá,2026-07-28
mua căn hộ sài gòn,sai-gon--mua-ban,T2_giao_dich,căn hộ,sài gòn (TP.HCM),phrase,1,intent mua trực tiếp,2026-07-28
bán căn hộ sài gòn,sai-gon--mua-ban,T2_giao_dich,căn hộ,sài gòn (TP.HCM),phrase,2,"cẩn thận: có thể là người bán, theo dõi search term",2026-07-28
căn hộ sài gòn mở bán,sai-gon--mo-ban-moi,T2_giao_dich,căn hộ,sài gòn (TP.HCM),phrase,1,"intent hàng mới, CPL thường tốt nhất",2026-07-28
dự án căn hộ sài gòn,sai-gon--du-an-khu-vuc,T2_giao_dich,căn hộ,sài gòn (TP.HCM),phrase,1,duyệt danh mục dự án theo khu vực,2026-07-28
chung cư sài gòn,sai-gon--generic-chung-cu,T2_giao_dich,chung cư,sài gòn (TP.HCM),phrase,1,head term theo loại hình + khu vực,2026-07-28
chung cư sài gòn giá,sai-gon--gia-bang-gia,T2_giao_dich,chung cư,sài gòn (TP.HCM),phrase,1,"intent hỏi giá, dẫn về block bảng giá LP",2026-07-28
chung cư sài gòn bảng giá,sai-gon--gia-bang-gia,T2_giao_dich,chung cư,sài gòn (TP.HCM),phrase,1,lead magnet: tải bảng giá,2026-07-28
đất nền sài gòn,sai-gon--generic-dat-nen,T2_giao_dich,đất nền,sài gòn (TP.HCM),phrase,1,head term theo loại hình + khu vực,2026-07-28
đất nền sài gòn giá,sai-gon--gia-bang-gia,T2_giao_dich,đất nền,sài gòn (TP.HCM),phrase,1,"intent hỏi giá, dẫn về block bảng giá LP",2026-07-28
đất nền sài gòn bảng giá,sai-gon--gia-bang-gia,T2_giao_dich,đất nền,sài gòn (TP.HCM),phrase,1,lead magnet: tải bảng giá,2026-07-28
căn hộ hà nội,ha-noi--generic-can-ho,T2_giao_dich,căn hộ,hà nội (Hà Nội),phrase,1,head term theo loại hình + khu vực,2026-07-28
căn hộ hà nội,ha-noi--generic-can-ho,T2_giao_dich,căn hộ,hà nội (Hà Nội),exact,1,head term theo loại hình + khu vực | bản exact để kiểm soát bid,2026-07-28
căn hộ hà nội giá,ha-noi--gia-bang-gia,T2_giao_dich,căn hộ,hà nội (Hà Nội),phrase,1,"intent hỏi giá, dẫn về block bảng giá LP",2026-07-28
căn hộ hà nội giá,ha-noi--gia-bang-gia,T2_giao_dich,căn hộ,hà nội (Hà Nội),exact,1,"intent hỏi giá, dẫn về block bảng giá LP | bản exact để kiểm soát bid",2026-07-28
căn hộ hà nội bảng giá,ha-noi--gia-bang-gia,T2_giao_dich,căn hộ,hà nội (Hà Nội),phrase,1,lead magnet: tải bảng giá,2026-07-28
căn hộ hà nội bảng giá,ha-noi--gia-bang-gia,T2_giao_dich,căn hộ,hà nội (Hà Nội),exact,1,lead magnet: tải bảng giá | bản exact để kiểm soát bid,2026-07-28
căn hộ hà nội giá bao nhiêu,ha-noi--gia-bang-gia,T2_giao_dich,căn hộ,hà nội (Hà Nội),phrase,1,long-tail hỏi giá,2026-07-28
căn hộ hà nội giá bao nhiêu,ha-noi--gia-bang-gia,T2_giao_dich,căn hộ,hà nội (Hà Nội),exact,1,long-tail hỏi giá | bản exact để kiểm soát bid,2026-07-28
mua căn hộ hà nội,ha-noi--mua-ban,T2_giao_dich,căn hộ,hà nội (Hà Nội),phrase,1,intent mua trực tiếp,2026-07-28
mua căn hộ hà nội,ha-noi--mua-ban,T2_giao_dich,căn hộ,hà nội (Hà Nội),exact,1,intent mua trực tiếp | bản exact để kiểm soát bid,2026-07-28
bán căn hộ hà nội,ha-noi--mua-ban,T2_giao_dich,căn hộ,hà nội (Hà Nội),phrase,2,"cẩn thận: có thể là người bán, theo dõi search term",2026-07-28
căn hộ hà nội mở bán,ha-noi--mo-ban-moi,T2_giao_dich,căn hộ,hà nội (Hà Nội),phrase,1,"intent hàng mới, CPL thường tốt nhất",2026-07-28
căn hộ hà nội mở bán,ha-noi--mo-ban-moi,T2_giao_dich,căn hộ,hà nội (Hà Nội),exact,1,"intent hàng mới, CPL thường tốt nhất | bản exact để kiểm soát bid",2026-07-28
dự án căn hộ hà nội,ha-noi--du-an-khu-vuc,T2_giao_dich,căn hộ,hà nội (Hà Nội),phrase,1,duyệt danh mục dự án theo khu vực,2026-07-28
dự án căn hộ hà nội,ha-noi--du-an-khu-vuc,T2_giao_dich,căn hộ,hà nội (Hà Nội),exact,1,duyệt danh mục dự án theo khu vực | bản exact để kiểm soát bid,2026-07-28
dự án căn hộ mới hà nội,ha-noi--mo-ban-moi,T2_giao_dich,căn hộ,hà nội (Hà Nội),phrase,2,hàng mới ra,2026-07-28
căn hộ hà nội sắp mở bán,ha-noi--mo-ban-moi,T2_giao_dich,căn hộ,hà nội (Hà Nội),phrase,2,giữ chỗ sớm,2026-07-28
căn hộ hà nội trả góp,ha-noi--tai-chinh,T2_giao_dich,căn hộ,hà nội (Hà Nội),phrase,2,dẫn về block chính sách vay,2026-07-28
căn hộ hà nội trả góp ngân hàng,ha-noi--tai-chinh,T2_giao_dich,căn hộ,hà nội (Hà Nội),phrase,2,hỗ trợ vay,2026-07-28
căn hộ hà nội cao cấp,ha-noi--phan-khuc-cao,T2_giao_dich,căn hộ,hà nội (Hà Nội),phrase,2,phân khúc cao cấp,2026-07-28
căn hộ hà nội bàn giao ngay,ha-noi--san-sang-o,T2_giao_dich,căn hộ,hà nội (Hà Nội),phrase,2,"nhu cầu ở ngay, chốt nhanh",2026-07-28
căn hộ hà nội 2 phòng ngủ,ha-noi--cau-hinh-can,T2_giao_dich,căn hộ,hà nội (Hà Nội),phrase,2,lọc theo cấu hình,2026-07-28
căn hộ hà nội 3 phòng ngủ,ha-noi--cau-hinh-can,T2_giao_dich,căn hộ,hà nội (Hà Nội),phrase,2,lọc theo cấu hình,2026-07-28
căn hộ hà nội dưới 2 tỷ,ha-noi--phan-khuc-ngan-sach,T2_giao_dich,căn hộ,hà nội (Hà Nội),phrase,2,phân khúc ngân sách,2026-07-28
căn hộ hà nội dưới 3 tỷ,ha-noi--phan-khuc-ngan-sach,T2_giao_dich,căn hộ,hà nội (Hà Nội),phrase,2,phân khúc ngân sách,2026-07-28
căn hộ hà nội dưới 5 tỷ,ha-noi--phan-khuc-ngan-sach,T2_giao_dich,căn hộ,hà nội (Hà Nội),phrase,2,phân khúc ngân sách,2026-07-28
có nên mua căn hộ hà nội,ha-noi--tu-van-quyet-dinh,T3_nghien_cuu,căn hộ,hà nội (Hà Nội),phrase,3,"top-funnel, đẩy về bài SEO + remarketing",2026-07-28
căn hộ hà nội review,ha-noi--tu-van-quyet-dinh,T3_nghien_cuu,căn hộ,hà nội (Hà Nội),phrase,3,cần negative 'lừa đảo',2026-07-28
căn hộ hà nội đánh giá,ha-noi--tu-van-quyet-dinh,T3_nghien_cuu,căn hộ,hà nội (Hà Nội),phrase,3,top-funnel,2026-07-28
căn hộ hà nội pháp lý,ha-noi--phap-ly,T3_nghien_cuu,căn hộ,hà nội (Hà Nội),phrase,3,"quan tâm sổ hồng, giấy tờ",2026-07-28
căn hộ hà nội tiến độ,ha-noi--tien-do,T3_nghien_cuu,căn hộ,hà nội (Hà Nội),phrase,3,"thường là khách đã mua, giá trị lead thấp hơn",2026-07-28
nên mua căn hộ hà nội ở đâu,ha-noi--tu-van-quyet-dinh,T3_nghien_cuu,căn hộ,hà nội (Hà Nội),phrase,3,top-funnel,2026-07-28
chung cư hà nội,ha-noi--generic-chung-cu,T2_giao_dich,chung cư,hà nội (Hà Nội),phrase,1,head term theo loại hình + khu vực,2026-07-28
chung cư hà nội giá,ha-noi--gia-bang-gia,T2_giao_dich,chung cư,hà nội (Hà Nội),phrase,1,"intent hỏi giá, dẫn về block bảng giá LP",2026-07-28
chung cư hà nội bảng giá,ha-noi--gia-bang-gia,T2_giao_dich,chung cư,hà nội (Hà Nội),phrase,1,lead magnet: tải bảng giá,2026-07-28
chung cư hà nội giá bao nhiêu,ha-noi--gia-bang-gia,T2_giao_dich,chung cư,hà nội (Hà Nội),phrase,1,long-tail hỏi giá,2026-07-28
mua chung cư hà nội,ha-noi--mua-ban,T2_giao_dich,chung cư,hà nội (Hà Nội),phrase,1,intent mua trực tiếp,2026-07-28
đất nền hà nội,ha-noi--generic-dat-nen,T2_giao_dich,đất nền,hà nội (Hà Nội),phrase,1,head term theo loại hình + khu vực,2026-07-28
đất nền hà nội giá,ha-noi--gia-bang-gia,T2_giao_dich,đất nền,hà nội (Hà Nội),phrase,1,"intent hỏi giá, dẫn về block bảng giá LP",2026-07-28
đất nền hà nội bảng giá,ha-noi--gia-bang-gia,T2_giao_dich,đất nền,hà nội (Hà Nội),phrase,1,lead magnet: tải bảng giá,2026-07-28
đất nền hà nội giá bao nhiêu,ha-noi--gia-bang-gia,T2_giao_dich,đất nền,hà nội (Hà Nội),phrase,1,long-tail hỏi giá,2026-07-28
mua đất nền hà nội,ha-noi--mua-ban,T2_giao_dich,đất nền,hà nội (Hà Nội),phrase,1,intent mua trực tiếp,2026-07-28
nhà phố hà nội,ha-noi--generic-nha-pho,T2_giao_dich,nhà phố,hà nội (Hà Nội),phrase,1,head term theo loại hình + khu vực,2026-07-28
nhà phố hà nội giá,ha-noi--gia-bang-gia,T2_giao_dich,nhà phố,hà nội (Hà Nội),phrase,1,"intent hỏi giá, dẫn về block bảng giá LP",2026-07-28
nhà phố hà nội bảng giá,ha-noi--gia-bang-gia,T2_giao_dich,nhà phố,hà nội (Hà Nội),phrase,1,lead magnet: tải bảng giá,2026-07-28
nhà phố hà nội giá bao nhiêu,ha-noi--gia-bang-gia,T2_giao_dich,nhà phố,hà nội (Hà Nội),phrase,1,long-tail hỏi giá,2026-07-28
mua nhà phố hà nội,ha-noi--mua-ban,T2_giao_dich,nhà phố,hà nội (Hà Nội),phrase,1,intent mua trực tiếp,2026-07-28
căn hộ quận 1,quan-1--generic-can-ho,T2_giao_dich,căn hộ,quận 1 (TP.HCM),phrase,1,head term theo loại hình + khu vực,2026-07-28
