# tên dự án | chủ đầu tư | loại hình | khu vực | hạng (A = CĐT lớn/dự án hot, được thêm 6 modifier phụ) | alias (tùy chọn, cách nhau bằng dấu phẩy)
# alias = tên khác của CÙNG dự án (tên kèm tỉnh, tên marketing, tên phân khu) — dùng chung ad group brand, KHÔNG tạo dòng dự án riêng
# Nguồn: quét web 07/2026 (cafeland.vn, batdongsan.com.vn, cafef.vn, vnexpress.net, vietnambiz.vn, trang CĐT)

# ============ TP.HCM ============
the global city | Masterise Homes | khu đô thị | Thủ Đức, TP.HCM | A
vịnh tiên cần giờ | Vinhomes | căn hộ biệt thự | Cần Giờ, TP.HCM | B
đảo mặt trời cần giờ | Vinhomes | khu đô thị | Cần Giờ, TP.HCM | B
vinhomes hóc môn | Vinhomes | khu đô thị | Hóc Môn, TP.HCM | A
vinhomes saigon park | Vinhomes | khu đô thị | Hóc Môn, TP.HCM | A
sunshine sky city | Sunshine Group | căn hộ | Quận 7, TP.HCM | A
saigon lighthouse | IMG | căn hộ | Quận 4, TP.HCM | B
phu cuong home | Tập đoàn Phú Cường | căn hộ | Quận 12, TP.HCM | B
central home saigon | Cát Tường | căn hộ | Bình Thạnh, TP.HCM | B
the privia | Khang Điền | căn hộ | Bình Tân, TP.HCM | A
the emeria | Khang Điền | căn hộ | Thủ Đức, TP.HCM | A
the clarita | Khang Điền | nhà phố biệt thự | Thủ Đức, TP.HCM | A
the solina | Khang Điền | nhà phố biệt thự | Bình Chánh, TP.HCM | A
q7 saigon riverside | Hưng Thịnh | căn hộ | Quận 7, TP.HCM | B
the gió riverside | An Gia | căn hộ | Dĩ An, Bình Dương | A

# ============ Bình Dương ============
the emerald 68 | Tập đoàn Lê Phong | căn hộ | Thuận An, Bình Dương | A
tt avio | TT Capital - Cosmos Initia | căn hộ | Dĩ An, Bình Dương | A
bcons avenue | Bcons Group | căn hộ | Dĩ An, Bình Dương | A
bcons city | Bcons Group | căn hộ | Dĩ An, Bình Dương | A
bcons polaris | Bcons Group | căn hộ | Dĩ An, Bình Dương | A
bcons miền đông | Bcons Group | căn hộ | Dĩ An, Bình Dương | B
bcons center city | Bcons Group | căn hộ | Dĩ An, Bình Dương | A
bcons polygon | Bcons Group | căn hộ | Dĩ An, Bình Dương | A
bcons new sky | Bcons Group | căn hộ | Dĩ An, Bình Dương | A
k home new city | Kim Oanh Group | nhà ở xã hội | Thủ Dầu Một, Bình Dương | A
phú đông skyone | Phú Đông Group | căn hộ | Dĩ An, Bình Dương | A
phú đông premier | Phú Đông Group | căn hộ | Dĩ An, Bình Dương | B
phú đông sky garden | Phú Đông Group | căn hộ | Dĩ An, Bình Dương | B
him lam phú đông | Phú Đông Group | căn hộ | Dĩ An, Bình Dương | B
harmonie bình dương | Phú Mỹ Hưng | căn hộ shophouse | Thủ Dầu Một, Bình Dương | A
icon central | Phú Hồng Thịnh | căn hộ | Dĩ An, Bình Dương | B
skysolis | Vina An Thuận Phát | căn hộ | Thuận An, Bình Dương | B
b one lumi | Hoàng Nam | căn hộ | Tân Uyên, Bình Dương | B
astral city | Danh Khôi | căn hộ shophouse | Thuận An, Bình Dương | A
sora gardens | Becamex Tokyu | căn hộ | Thủ Dầu Một, Bình Dương | B
legacy central | Kim Oanh Group | căn hộ | Thuận An, Bình Dương | B
happy one central | Vạn Xuân Group | căn hộ | Thủ Dầu Một, Bình Dương | B
happy one mori | Vạn Xuân Group | căn hộ | Thuận An, Bình Dương | B
eco xuân | SP Setia | căn hộ | Thuận An, Bình Dương | B
one era | Kim Oanh Group | căn hộ | Bình Dương | B
one world city | Kim Oanh Group | khu đô thị | Bình Dương | B
opal skyline | Đất Xanh Group | căn hộ | Thuận An, Bình Dương | B

# ============ Đồng Nai ============
aqua city | Novaland | khu đô thị | Biên Hòa, Đồng Nai | A
gem sky world | Đất Xanh Group | đất nền nhà phố | Long Thành, Đồng Nai | A
izumi city | Nam Long | khu đô thị | Biên Hòa, Đồng Nai | A
fiato airport city | Thăng Long Real Group | căn hộ nhà phố | Nhơn Trạch, Đồng Nai | A
k home avenue | Kim Oanh Land | nhà ở xã hội | Nhơn Trạch, Đồng Nai | B
k home midtown | Kim Oanh Land | nhà ở xã hội | Trảng Bom, Đồng Nai | B
k home skyview | Kim Oanh Land | nhà ở xã hội | Trảng Bom, Đồng Nai | B
k home cityview | Kim Oanh Land | nhà ở xã hội | Biên Hòa, Đồng Nai | B
long thành airport city | đang cập nhật | đất nền | Long Thành, Đồng Nai | B
hoa sen airport city | đang cập nhật | khu đô thị | Long Thành, Đồng Nai | B

# ============ Long An ============
waterpoint | Nam Long | khu đô thị | Bến Lức, Long An | A
eco retreat | Ecopark | khu đô thị sinh thái | Bến Lức, Long An | A | eco retreat long an, ecopark long an, forest onsen
phúc an city | Trần Anh Group | nhà phố biệt thự | Đức Hòa, Long An | A
west lakes golf villas | Trần Anh Group | biệt thự nghỉ dưỡng | Đức Hòa, Long An | B
five star eco city | Tập đoàn Năm Sao | nhà phố biệt thự | Cần Giuộc, Long An | B
la home | Prodezi Long An | nhà phố biệt thự | Bến Lức, Long An | A
vinhomes green city | Vinhomes | khu đô thị | Đức Hòa, Long An | A
vinhomes hậu nghĩa | Vinhomes | khu đô thị | Đức Hòa, Long An | A
the win city | Thắng Lợi Group | căn hộ | Đức Hòa, Long An | B
# đất nền Long An bổ sung 2026-07-28 (mỗi dự án ≥2 nguồn độc lập)
đức hòa new city | An Nông Land | đất nền nhà phố | Đức Hòa, Long An | B | khu dân cư an nông 7
dragon pearl đức hòa | Đức Hòa Đông - Green Global Group | đất nền biệt thự | Đức Hòa, Long An | B | dragon pearl long an, ora park đức hòa
king hill residences | Đạt Thuận Phát | đất nền nhà phố | Bến Lức, Long An | B | king hill bến lức
đất nam soluna | Xuân Thảo | nhà phố shophouse | Bến Lức, Long An | B | soluna bến lức
iris residence cần giuộc | Iris Land - GM Holdings | nhà phố shophouse | Cần Giuộc, Long An | B | iris residence long an

# ============ BR-VT ============
maison grand phú mỹ | Tùng Mỹ | căn hộ shophouse | Phú Mỹ, BR-VT | B
eco home phú mỹ | Hodeco | nhà ở xã hội | Phú Mỹ, BR-VT | B
ecotown phú mỹ | đang cập nhật | đất nền nhà phố | Phú Mỹ, BR-VT | B
dic solar city vũng tàu | DIC Corp | khu đô thị nhà phố | Vũng Tàu, BR-VT | B
# Blanca City thêm 2026-08-05 — dự án ĐANG PHÂN PHỐI. Nguồn: vnexpress.net, dantri.com.vn,
# baodautu.vn, tinnhanhchungkhoan.vn (kick-off Beachtro Tower 30/07/2026) — 4 nguồn độc lập.
# Beachtro Tower là PHÂN KHU của Blanca City -> để alias, dùng chung ad group brand-blanca-city
# (luật dòng 2 + adgroup-map: "1 ad group / dự án đang bán, alias không tạo nhóm mới").
blanca city | Sun Group | căn hộ | Vũng Tàu, BR-VT | A | beachtro tower, blanca city vũng tàu, sun blanca city, beachtro tower vũng tàu

# ============ Hà Nội ============
vinhomes ocean park 1 | Vinhomes | khu đô thị | Gia Lâm, Hà Nội | A
vinhomes global gate | Vinhomes | khu đô thị | Đông Anh, Hà Nội | A
vinhomes cổ loa | Vinhomes | khu đô thị | Đông Anh, Hà Nội | A
vinhomes wonder city | Vinhomes | khu đô thị | Đan Phượng, Hà Nội | A
vinhomes smart city | Vinhomes | căn hộ | Nam Từ Liêm, Hà Nội | A
lumi hanoi | CapitaLand - Vinhomes | căn hộ | Nam Từ Liêm, Hà Nội | A
vinhomes the gallery giảng võ | Vinhomes | căn hộ hạng sang | Ba Đình, Hà Nội | A
times hub times city | Vinhomes | căn hộ | Hai Bà Trưng, Hà Nội | A
masteri waterfront ocean park | Masterise Homes | căn hộ | Gia Lâm, Hà Nội | A
the senique hanoi | CapitaLand | căn hộ | Gia Lâm, Hà Nội | A
heritage west lake | CapitaLand | căn hộ | Tây Hồ, Hà Nội | A
noble crystal | Sunshine Group | căn hộ | Tây Hồ, Hà Nội | B
endless skyline west lake | Nam Hưng | căn hộ | Tây Hồ, Hà Nội | B
sun feliza suites | Sun Group | căn hộ văn phòng | Cầu Giấy, Hà Nội | A
the matrix one | MIK Group | căn hộ | Nam Từ Liêm, Hà Nội | A
the matrix premium | MIK Group | căn hộ | Nam Từ Liêm, Hà Nội | A
flc premier parc | FLC | căn hộ | Nam Từ Liêm, Hà Nội | B
galia hanoi | Tân Á Đại Thành | căn hộ | Hoàng Mai, Hà Nội | A
gamuda gardens | Gamuda Land | khu đô thị | Hoàng Mai, Hà Nội | A
gamuda city | Gamuda Land | khu đô thị | Hoàng Mai, Hà Nội | A
gamuda central park | Gamuda Land | căn hộ | Hoàng Mai, Hà Nội | A
eurowindow river park | Eurowindow Holding | căn hộ shophouse | Đông Anh, Hà Nội | B
brg smart city | BRG Group | khu đô thị | Đông Anh, Hà Nội | A
charm villas | Hải Đăng | biệt thự | Hoài Đức, Hà Nội | B
hinode royal park | Hinode Group | liền kề shophouse | Hoài Đức, Hà Nội | B
the golden an khánh | Handico | căn hộ | Hoài Đức, Hà Nội | B
gemek premium | đang cập nhật | căn hộ | Hoài Đức, Hà Nội | B
tricon towers | An Thịnh Group | căn hộ | Hoài Đức, Hà Nội | B
thăng long victory | Vinaenco | căn hộ | Hoài Đức, Hà Nội | B
sunshine grand capital | Sunshine Group | căn hộ | Hoài Đức, Hà Nội | B
goldmark city | TNR Holdings | căn hộ | Bắc Từ Liêm, Hà Nội | B
grandeur palace giảng võ | Văn Phú Invest | căn hộ hạng sang | Ba Đình, Hà Nội | A
sunshine golden river | Sunshine Group | căn hộ | Tây Hồ, Hà Nội | B
sunshine city ciputra | Sunshine Group | căn hộ | Bắc Từ Liêm, Hà Nội | B

# ============ Hưng Yên ============
khu đô thị ecopark | Ecopark Group | khu đô thị | Văn Giang, Hưng Yên | A
sky oasis ecopark | Ecopark Group | căn hộ | Văn Giang, Hưng Yên | A
solforest ecopark | Ecopark Group | căn hộ | Văn Giang, Hưng Yên | A
haven park ecopark | Ecopark Group | căn hộ | Văn Giang, Hưng Yên | A
ecopark grand đảo châu âu | Ecopark Group | biệt thự | Văn Giang, Hưng Yên | A
vinhomes ocean park 2 | Vinhomes | khu đô thị | Văn Giang, Hưng Yên | A
vinhomes ocean park 3 | Vinhomes | khu đô thị | Văn Giang, Hưng Yên | A
the fullton | CapitaLand | shophouse nhà phố | Văn Giang, Hưng Yên | A

# ============ Bắc Ninh / Bắc Giang ============
vinhomes bắc ninh | Vinhomes | khu đô thị | Bắc Ninh | A
vinhomes hòa long | Vinhomes | khu đô thị | Bắc Ninh | A
vietsing square | VSIP Từ Sơn | shophouse liền kề | Từ Sơn, Bắc Ninh | B
centa river park | Centa City | shophouse biệt thự | Từ Sơn, Bắc Ninh | B
khu đô thị mới phù khê | đang cập nhật | đất nền | Từ Sơn, Bắc Ninh | B
việt yên riverside | đang cập nhật | đất nền | Việt Yên, Bắc Giang | B
hyde park bắc giang | đang cập nhật | đất nền shophouse | Bắc Giang | B

# ============ Hải Phòng ============
vinhomes royal island | Vinhomes | biệt thự | Thủy Nguyên, Hải Phòng | A
vinhomes vũ yên | Vinhomes | biệt thự | Thủy Nguyên, Hải Phòng | A
vinhomes golden city | Vinhomes | khu đô thị | Dương Kinh, Hải Phòng | A
vinhomes imperia | Vinhomes | căn hộ shophouse | Hồng Bàng, Hải Phòng | A
hoàng huy commerce | Hoàng Huy Group | căn hộ | Lê Chân, Hải Phòng | A
hoàng huy rose residence | Hoàng Huy Group | căn hộ | Lê Chân, Hải Phòng | A
hoàng huy green river | Hoàng Huy Group | liền kề shophouse | Thủy Nguyên, Hải Phòng | A
flamingo cát bà resorts | Flamingo Holding | biệt thự nghỉ dưỡng | Cát Bà, Hải Phòng | B

# ============ Quảng Ninh ============
vinhomes hạ long xanh | Vinhomes | khu đô thị | Hạ Long, Quảng Ninh | A
vinhomes golden avenue | Vinhomes | biệt thự liền kề | Móng Cái, Quảng Ninh | A
sun marina town | Sun Group | căn hộ | Hạ Long, Quảng Ninh | A
sun grand city feria hạ long | Sun Group | biệt thự | Hạ Long, Quảng Ninh | A
sun onsen village | Sun Group | biệt thự nghỉ dưỡng | Cẩm Phả, Quảng Ninh | A
sonasea vân đồn harbor city | CEO Group | biệt thự liền kề | Vân Đồn, Quảng Ninh | B
ocean park vân đồn | Quan Minh | biệt thự đất nền | Vân Đồn, Quảng Ninh | B

# ============ tỉnh Bắc/Trung khác ============
ecorivers hải dương | đang cập nhật | căn hộ | Hải Dương | B
vạn xuân heritage | Tiên Phong Phổ Yên | đất nền shophouse | Phổ Yên, Thái Nguyên | B
flamingo đại lải resort | Flamingo Holding | biệt thự nghỉ dưỡng | Phúc Yên, Vĩnh Phúc | B
vinhomes ninh bình | Vinhomes | khu đô thị | Ninh Bình | A
vinhomes star city | Vinhomes | khu đô thị | Thanh Hóa | A
sun grand boulevard | Sun Group | shophouse | Sầm Sơn, Thanh Hóa | A
the pathway thanh hóa | Sun Group | căn hộ | Sầm Sơn, Thanh Hóa | B
khu đô thị mới vinh tân | đang cập nhật | biệt thự liền kề | Vinh, Nghệ An | B
eurowindow sport garden | Eurowindow Holding | căn hộ | Vinh, Nghệ An | B
eurowindow garden city | Eurowindow Holding | căn hộ | Vinh, Nghệ An | B
eco central park | đang cập nhật | căn hộ | Vinh, Nghệ An | B

# ============ Đà Nẵng / Hội An / Huế ============
vinhomes hải vân bay | Vingroup | biệt thự nhà phố | Liên Chiểu, Đà Nẵng | A
vinhomes làng vân | Vingroup | biệt thự nhà phố | Liên Chiểu, Đà Nẵng | A
sun symphony 5 | Sun Property | căn hộ | Sơn Trà, Đà Nẵng | A
sun galaxy complex | Sun Group | căn hộ | Ngũ Hành Sơn, Đà Nẵng | A
s light tower | Sun Group | căn hộ | Hòa Xuân, Đà Nẵng | A
spana tower | Sun Group | căn hộ | Hòa Xuân, Đà Nẵng | A
peninsula private đảo xanh | Kreves Halla Land | căn hộ | Hải Châu, Đà Nẵng | B
m riverside danang | Kyoritsu Maintenance | căn hộ | Hải Châu, Đà Nẵng | B
m landmark residences | Foodinco Real Estate | căn hộ | Hải Châu, Đà Nẵng | B
futa kim phát | FutaLand | nhà phố thương mại | Liên Chiểu, Đà Nẵng | B
futa kim an | H&A Real Estate | căn hộ | Sơn Trà, Đà Nẵng | B
hiyori aqua tower | Aqua Tower | căn hộ | Sơn Trà, Đà Nẵng | B
the poet residence | Phúc Thanh An | căn hộ | Ngũ Hành Sơn, Đà Nẵng | B
fpt plaza 4 | Đô thị FPT Đà Nẵng | căn hộ | Ngũ Hành Sơn, Đà Nẵng | B
newtown legend | New Town Development | biệt thự nhà phố | Ngũ Hành Sơn, Đà Nẵng | B
casamia balanca | Bamboo Capital | biệt thự shophouse | Hội An, Đà Nẵng | B
casamia hội an | Bamboo Capital | biệt thự shophouse | Hội An, Đà Nẵng | B
regal legend | Regal Group | khu phức hợp | Đà Nẵng | B
richmond phú xuân | Confitech Tân Đạt | shophouse | Huế | B
an cựu galleria | IMG Huế | nhà phố | Huế | B
đào tấn diamond | Newland | nhà phố thương mại | Huế | B
emerald bảo vinh | Phúc Thịnh | biệt thự nhà phố | Huế | B

# ============ Nha Trang / Khánh Hòa ============
vega alora residences | Vega City | căn hộ | Nha Trang, Khánh Hòa | B
anh nguyen oceanfront horizon | Anh Nguyễn | condotel | Nha Trang, Khánh Hòa | B
welltone luxury residence | VHR | căn hộ | Nha Trang, Khánh Hòa | B
mk riviera | MK Group | căn hộ | Nha Trang, Khánh Hòa | B
golden square nha trang | Đông Á Golden Square | căn hộ | Nha Trang, Khánh Hòa | B
libera nha trang | KDI Holdings - Masterise | condotel biệt thự biển | Cam Ranh, Khánh Hòa | A
kn paradise cam ranh | KN Cam Ranh | biệt thự biển condotel | Cam Ranh, Khánh Hòa | B
vinpearl phú quý | Vingroup | căn hộ biệt thự | Nha Trang, Khánh Hòa | A

# ============ Quy Nhơn / Phú Yên ============
merryland quy nhơn | Hưng Thịnh | condotel shophouse | Quy Nhơn, Bình Định | A
phú tài central life | Phú Tài | căn hộ | Quy Nhơn, Bình Định | B
quy nhơn sky residence | Arita | căn hộ | Quy Nhơn, Bình Định | B
phú tài jade garden | Phú Tài Diêu Trì | khu đô thị | Bình Định | B
hoàng gia vcn | VCN | biệt thự nhà phố | Bình Định | B
sgo la emera phú yên | SGO Land - Hải Phát | shophouse | Tuy Hòa, Phú Yên | B

# ============ Phú Quốc ============
meypearl ciel | Meyland Tân Á Đại Thành | căn hộ | Phú Quốc | B
selavia phú quốc | Toàn Hải Vân | căn hộ khu đô thị | Phú Quốc | B
sun festival avenue | Sun Group | biệt thự nhà phố | Hòn Thơm, Phú Quốc | A
the lagom phú quốc | Hạ Tầng Đô Thị Corp | biệt thự | Phú Quốc | B
sun grand city hillside residence | Sun Group | căn hộ | Phú Quốc | A
sun grand city new an thới | Sun Group | biệt thự nhà phố | An Thới, Phú Quốc | A
sun premier village primavera | Sun Group | biệt thự | Phú Quốc | A
sonasea villas resort | CEO Group | biệt thự condotel | Phú Quốc | B
vinpearl phú quốc | Vingroup | biệt thự | Phú Quốc | A

# ============ Phan Thiết / Đà Lạt / Bảo Lộc ============
novaworld phan thiết | Novaland | biệt thự shophouse | Phan Thiết, Bình Thuận | A
novaworld hồ tràm | Novaland | biệt thự shophouse | Hồ Tràm, BR-VT | A
marina city mũi né | Novaland | condotel resort | Mũi Né, Bình Thuận | A
the seahara mũi né | Hải Phát | condotel villa | Phan Thiết, Bình Thuận | B
costamigo phan thiết | Biển Quê Hương | resort shophouse | Phan Thiết, Bình Thuận | B
haus đà lạt | The One Destination | biệt thự | Đà Lạt, Lâm Đồng | A
làng pháp bảo lộc | Phúc Long PNJ | biệt thự nghỉ dưỡng | Bảo Lộc, Lâm Đồng | B
ecopark lâm đồng | Ecopark | biệt thự căn hộ | Đà Lạt, Lâm Đồng | A

# ============ Miền Tây ============
cara river park | Cara Group | căn hộ | Cái Răng, Cần Thơ | B
cara legend | Cara Legend | căn hộ | Cần Thơ | B
stella icon | Ngân Thuận | căn hộ | Bình Thủy, Cần Thơ | B
rivera park can tho | Long Giang Land | căn hộ | Cái Khế, Cần Thơ | B
thiên quân marina plaza | Thiên Quân | căn hộ | Ninh Kiều, Cần Thơ | B
vĩnh long center | Xây dựng Vĩnh Long | căn hộ | Vĩnh Long | B
fancy tower | Thiên Đức | căn hộ | Vĩnh Long | B
cic boulevard an giang | CIC Group | nhà ở xã hội nhà phố | Rạch Giá, An Giang | B
